iter	Passed	Remaining
422	2283	3114
423	2290	3111
424	2296	3106
425	2301	3101
426	2307	3096
427	2313	3091
428	2319	3086
429	2325	3082
430	2331	3077
431	2336	3072
432	2343	3068
433	2348	3063
434	2355	3059
435	2361	3055
436	2367	3049
437	2373	3045
438	2379	3041
439	2385	3036
440	2392	3032
441	2397	3026
442	2402	3021
443	2407	3015
444	2412	3008
445	2418	3003
446	2421	2996
447	2426	2989
448	2430	2982
449	2435	2977
450	2440	2970
451	2444	2963
452	2448	2956
453	2452	2949
454	2456	2942
455	2461	2936
456	2465	2929
457	2470	2924
458	2477	2920
459	2483	2915
460	2489	2910
461	2494	2904
462	2499	2898
463	2504	2892
464	2508	2885
465	2513	2880
466	2518	2874
467	2522	2867
468	2526	2860
469	2531	2854
470	2535	2847
471	2540	2841
472	2544	2835
473	2549	2829
474	2554	2823
475	2558	2816
476	2563	2810
477	2568	2804
478	2572	2798
479	2577	2792
480	2582	2786
481	2588	2781
482	2593	2775
483	2598	2770
484	2604	2765
485	2611	2761
486	2618	2758
487	2624	2753
488	2629	2748
489	2635	2742
490	2640	2737
491	2646	2732
492	2651	2726
493	2656	2720
494	2662	2716
495	2669	2712
496	2675	2708
497	2681	2702
498	2687	2698
499	2694	2694
500	2699	2689
501	2706	2684
502	2712	2680
503	2717	2674
504	2724	2670
505	2731	2666
506	2737	2661
507	2744	2658
508	2751	2653
509	2756	2648
510	2761	2642
511	2766	2636
512	2771	2631
513	2777	2626
514	2784	2621
515	2789	2616
516	2794	2610
517	2800	2605
518	2806	2600
519	2812	2596
520	2817	2590
521	2823	2585
522	2829	2580
523	2836	2576
524	2841	2571
525	2845	2564
526	2851	2558
527	2854	2552
528	2861	2547
529	2867	2543
530	2872	2536
531	2878	2531
532	2883	2526
533	2887	2519
534	2893	2514
535	2897	2508
536	2901	2501
537	2907	2496
538	2912	2491
539	2918	2485
540	2921	2478
541	2927	2473
542	2932	2467
543	2938	2462
544	2944	2457
545	2948	2451
546	2952	2444
547	2957	2439
548	2962	2433
549	2966	2427
550	2972	2421
551	2976	2415
552	2984	2412
553	2989	2407
554	2995	2401
555	3000	2395
556	3006	2390
557	3011	2385
558	3017	2380
559	3023	2375
560	3028	2369
561	3032	2363
562	3038	2358
563	3044	2353
564	3050	2348
565	3057	2344
