iter	Passed	Remaining
459	4521	5307
460	4534	5301
461	4547	5296
462	4558	5286
463	4571	5280
464	4583	5273
465	4598	5269
466	4608	5259
467	4621	5253
468	4637	5250
469	4650	5243
470	4663	5237
471	4672	5226
472	4683	5218
473	4693	5208
474	4702	5197
475	4712	5187
476	4720	5176
477	4729	5164
478	4738	5153
479	4746	5141
480	4754	5130
481	4762	5118
482	4770	5106
483	4779	5095
484	4788	5085
485	4797	5073
486	4807	5063
487	4815	5052
488	4824	5041
489	4832	5029
490	4843	5020
491	4851	5009
492	4860	4998
493	4869	4987
494	4878	4976
495	4887	4966
496	4895	4954
497	4907	4946
498	4915	4935
499	4924	4924
500	4933	4913
501	4941	4902
502	4950	4890
503	4959	4880
504	4967	4869
505	4976	4858
506	4985	4847
507	4994	4836
508	5003	4826
509	5011	4815
510	5022	4806
511	5033	4797
512	5043	4787
513	5054	4779
514	5067	4771
515	5078	4763
516	5095	4760
517	5111	4756
518	5126	4750
519	5141	4746
520	5156	4740
521	5173	4737
522	5187	4731
523	5199	4723
524	5208	4712
525	5218	4702
526	5226	4691
527	5236	4680
528	5244	4669
529	5253	4658
530	5261	4647
531	5270	4636
532	5279	4625
533	5286	4613
534	5295	4602
535	5306	4593
536	5314	4582
537	5322	4570
538	5331	4559
539	5339	4548
540	5348	4537
541	5356	4526
542	5365	4515
543	5373	4504
544	5382	4493
545	5390	4482
546	5398	4471
547	5407	4459
548	5415	4448
549	5423	4437
550	5431	4426
551	5440	4415
552	5448	4404
553	5456	4392
554	5465	4381
555	5475	4372
556	5484	4361
557	5494	4352
558	5503	4341
559	5513	4331
560	5521	4321
561	5530	4310
562	5539	4299
563	5548	4289
564	5557	4278
565	5566	4267
566	5575	4257
567	5583	4246
568	5593	4236
569	5601	4225
570	5610	4215
571	5620	4205
572	5628	4194
573	5638	4184
574	5647	4174
575	5656	4164
576	5665	4153
577	5674	4143
578	5686	4134
579	5696	4124
580	5704	4114
581	5713	4103
582	5721	4092
583	5730	4081
584	5738	4071
585	5747	4060
586	5756	4050
587	5765	4039
588	5774	4029
589	5783	4018
590	5791	4007
591	5800	3997
592	5810	3987
593	5818	3977
594	5827	3966
595	5836	3955
596	5845	3945
597	5854	3935
598	5864	3926
599	5873	3915
600	5884	3906
601	5895	3897
602	5903	3886
603	5914	3877
604	5923	3867
605	5932	3857
606	5940	3846
607	5950	3836
608	5959	3825
609	5968	3815
610	5977	3805
611	5985	3794
612	5995	3784
613	6004	3774
614	6012	3764
615	6021	3753
616	6029	3742
617	6037	3731
618	6046	3721
619	6053	3710
620	6061	3699
621	6069	3688
622	6078	3678
623	6086	3667
624	6097	3658
625	6107	3648
626	6115	3638
627	6126	3628
628	6135	3618
629	6144	3608
630	6152	3597
631	6160	3586
632	6168	3576
633	6176	3565
634	6184	3554
635	6191	3543
636	6199	3532
637	6206	3521
638	6214	3510
639	6223	3500
640	6231	3490
641	6240	3479
642	6247	3468
643	6255	3458
644	6263	3447
645	6272	3437
646	6280	3426
647	6288	3415
648	6295	3405
649	6304	3394
650	6312	3383
651	6320	3373
652	6328	3363
653	6338	3353
654	6346	3342
655	6353	3331
656	6361	3321
657	6370	3310
658	6378	3300
659	6386	3290
660	6394	3279
661	6403	3269
662	6410	3258
663	6418	3248
664	6427	3237
665	6436	3227
666	6444	3217
667	6452	3207
668	6461	3196
669	6469	3186
670	6476	3175
671	6487	3166
672	6495	3156
673	6504	3146
674	6514	3136
675	6522	3126
676	6530	3115
677	6539	3105
678	6547	3095
679	6556	3085
680	6565	3075
681	6573	3065
682	6582	3055
683	6590	3044
684	6597	3034
685	6606	3024
686	6615	3014
687	6624	3004
688	6633	2994
689	6642	2984
690	6650	2974
691	6659	2964
692	6669	2954
693	6684	2947
694	6697	2939
695	6706	2929
696	6714	2919
697	6722	2908
698	6731	2898
699	6740	2888
700	6749	2878
701	6759	2869
702	6767	2859
703	6777	2849
704	6785	2839
705	6793	2829
706	6802	2819
707	6810	2808
708	6819	2798
709	6827	2788
710	6836	2778
711	6845	2768
712	6854	2758
713	6862	2748
714	6870	2738
715	6881	2729
716	6892	2720
717	6900	2710
718	6910	2700
719	6919	2691
720	6929	2681
721	6939	2672
722	6947	2661
723	6958	2652
724	6966	2642
725	6974	2632
726	6983	2622
727	6992	2612
728	7000	2602
729	7009	2592
730	7017	2582
731	7025	2572
732	7034	2562
733	7041	2551
734	7050	2542
735	7058	2531
736	7067	2521
737	7075	2512
738	7084	2502
739	7092	2491
740	7101	2482
741	7109	2472
742	7119	2462
743	7127	2452
744	7136	2442
745	7144	2432
746	7153	2422
747	7161	2412
748	7170	2402
749	7178	2392
750	7187	2382
751	7195	2372
752	7202	2362
753	7211	2352
754	7220	2342
755	7228	2333
756	7237	2323
757	7246	2313
758	7255	2303
759	7265	2294
760	7273	2284
761	7283	2274
762	7296	2266
763	7306	2257
764	7316	2247
765	7325	2237
766	7333	2227
767	7342	2218
768	7351	2208
769	7361	2198
770	7371	2189
771	7380	2179
772	7389	2170
773	7397	2160
774	7406	2150
775	7416	2140
776	7426	2131
777	7436	2121
778	7447	2112
779	7459	2103
780	7467	2094
781	7478	2084
782	7487	2075
783	7497	2065
784	7507	2056
785	7516	2046
786	7527	2037
787	7535	2027
788	7546	2018
789	7555	2008
790	7563	1998
791	7572	1988
792	7580	1978
793	7591	1969
794	7600	1959
795	7611	1950
796	7620	1941
797	7629	1931
798	7640	1922
799	7649	1912
800	7659	1902
801	7668	1893
802	7677	1883
803	7687	1873
804	7700	1865
805	7710	1855
806	7720	1846
807	7728	1836
808	7738	1827
809	7747	1817
810	7757	1807
811	7768	1798
812	7777	1788
813	7787	1779
814	7797	1770
815	7806	1760
816	7817	1751
817	7828	1741
818	7838	1732
819	7847	1722
820	7856	1712
821	7866	1703
822	7874	1693
823	7884	1684
824	7892	1674
825	7903	1664
826	7912	1655
827	7921	1645
828	7929	1635
829	7938	1626
830	7946	1616
831	7954	1606
832	7965	1596
833	7972	1586
834	7981	1577
835	7990	1567
836	8001	1558
837	8014	1549
838	8024	1539
839	8037	1530
840	8050	1521
841	8062	1512
842	8072	1503
843	8084	1494
844	8099	1485
845	8108	1476
846	8118	1466
847	8128	1457
848	8138	1447
849	8149	1438
850	8160	1428
851	8169	1419
852	8181	1409
853	8190	1400
854	8199	1390
855	8210	1381
856	8220	1371
857	8231	1362
858	8241	1352
859	8250	1343
860	8260	1333
861	8270	1323
862	8279	1314
863	8288	1304
864	8298	1295
865	8308	1285
866	8317	1275
867	8326	1266
868	8336	1256
869	8346	1247
870	8357	1237
871	8366	1228
872	8376	1218
873	8387	1209
874	8397	1199
875	8408	1190
876	8419	1180
877	8427	1171
878	8438	1161
879	8446	1151
880	8457	1142
881	8467	1132
882	8480	1123
883	8490	1114
884	8500	1104
885	8509	1094
886	8519	1085
887	8528	1075
888	8538	1066
889	8546	1056
890	8555	1046
891	8564	1036
892	8572	1027
893	8582	1017
894	8591	1007
895	8600	998
896	8610	988
897	8621	979
898	8630	969
899	8640	960
900	8650	950
901	8660	940
902	8669	931
903	8679	921
904	8688	912
905	8698	902
906	8707	892
907	8716	883
908	8724	873
909	8733	863
910	8742	854
911	8751	844
912	8761	834
913	8770	825
914	8780	815
915	8789	806
916	8799	796
917	8808	786
918	8818	777
919	8829	767
920	8838	758
921	8847	748
922	8857	738
923	8868	729
924	8879	719
925	8890	710
926	8899	700
927	8909	691
928	8918	681
929	8928	672
930	8938	662
931	8947	652
932	8959	643
933	8967	633
934	8978	624
935	8988	614
936	8996	604
937	9008	595
938	9017	585
939	9027	576
940	9037	566
941	9045	556
942	9056	547
943	9064	537
944	9075	528
945	9084	518
946	9094	508
947	9104	499
948	9112	489
949	9123	480
950	9131	470
951	9142	460
952	9151	451
953	9159	441
954	9169	432
955	9178	422
956	9188	412
957	9196	403
958	9205	393
959	9213	383
960	9223	374
961	9232	364
962	9241	355
963	9262	345
964	9273	336
965	9284	326
966	9293	317
967	9303	307
968	9312	297
969	9321	288
970	9329	278
971	9338	269
972	9347	259
973	9355	249
974	9364	240
975	9371	230
976	9380	220
977	9387	211
978	9397	201
979	9405	191
980	9414	182
981	9423	172
982	9432	163
983	9441	153
984	9450	143
985	9458	134
986	9467	124
987	9476	115
988	9484	105
989	9493	95
990	9501	86
991	9509	76
992	9517	67
993	9526	57
994	9534	47
995	9542	38
996	9551	28
997	9559	19
998	9568	9
999	9576	0
